t_history	r_history	delta_ts	ys
0,5,14,31,74	4,3,3,3,3	5,14,31,74,186	1,1,1,1,1
0,1,3,5,10,28,74	3,3,3,3,3,3,3	1,3,5,10,28,74,181	1,1,1,1,1,1,1
0,1,2,6,16,38,93,241,24,1,2,6,4,11,29	3,3,3,3,3,3,3,1,1,3,3,2,3,3,3	1,2,6,16,38,93,241,24,1,2,6,4,11,29,64	1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
0,2,2,6,15,36,88	3,3,3,3,3,3,3	2,2,6,15,36,88,210	1,1,1,1,1,1,1
0,2,3,9,21,50	3,3,3,3,3,3	2,3,9,21,50,129	1,1,1,1,1,1
0,3,9,21,57	3,3,3,3,3	3,9,21,57,142	1,1,1,1,1
0,1,4,12,42	3,3,3,4,3	1,4,12,42,115	1,1,1,1,1
0,2,3,2,1,4,7,14,26,51,109,10,25,18,39,85,10,17,16,23	1,3,1,1,3,3,3,3,3,3,1,3,2,3,3,1,3,2,3,3	2,3,2,1,4,7,14,26,51,109,10,25,18,39,85,10,17,16,23,41	1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
0,2,3,4,1,2,3,1,1,3,5,10,22,2,3,6,12,19,33,1,3,3,3,5,7,1,3,5,14,20,50,5,5,7,13,21,32,52,6,6,3,6,11,2,5,6,12,9,14,22	1,3,3,1,3,3,1,3,3,3,3,3,1,3,3,3,3,3,1,3,1,3,3,3,1,3,3,3,2,3,1,3,3,3,3,3,3,1,3,2,3,3,1,3,3,3,2,3,3,3	2,3,4,1,2,3,1,1,3,5,10,22,2,3,6,12,19,33,1,3,3,3,5,7,1,3,5,14,20,50,5,5,7,13,21,32,52,6,6,3,6,11,2,5,6,12,9,14,22,31	1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
0,1,7,50,41,11,31,8,17,55	3,3,3,2,3,3,3,3,3,3	1,7,50,41,11,31,8,17,55,166	1,1,1,1,1,1,1,1,1,1
0,5,10,25,66	4,3,3,3,4	5,10,25,66,207	1,1,1,1,1
0,3,7,8,18,44,102,2,9,42,36,33,76,7,1,2,5,7,15,11,10,12,21,29,48	3,3,2,3,3,3,1,3,3,2,2,3,1,1,3,4,3,3,2,2,3,3,3,3,3	3,7,8,18,44,102,2,9,42,36,33,76,7,1,2,5,7,15,11,10,12,21,29,48,79	1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0,3,8,18,45	1,3,3,3,3	3,8,18,45,112	1,1,1,1,1
0,1,4,6,10,26,62,1,3,6,14,1,5,8,16,11,34,123,12,11,2,2,3,6,5,3,4,8,10,13,20,37,60	3,3,2,3,3,3,1,3,3,3,1,3,3,3,1,3,3,1,2,1,3,3,3,1,2,3,3,3,3,3,3,3,3	1,4,6,10,26,62,1,3,6,14,1,5,8,16,11,34,123,12,11,2,2,3,6,5,3,4,8,10,13,20,37,60,94	1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,2,4,2,3,5,11,23,53	1,3,1,3,3,3,3,3,3	2,4,2,3,5,11,23,53,117	1,0,1,1,1,1,1,1,1
0,6,12,29,33,80,56	4,3,3,2,3,1,3	6,12,29,33,80,56,244	1,1,1,1,0,1,1
0,3,8,18,1,3,6,14,31,72,164,16,39	4,3,3,1,3,3,3,3,3,3,1,3,3	3,8,18,1,3,6,14,31,72,164,16,39,95	1,1,0,1,1,1,1,1,1,0,1,1,1
0,1,2,6,16,36,92,1,3,5,20,96	3,3,3,3,3,3,1,3,3,3,3,3	1,2,6,16,36,92,1,3,5,20,96,269	1,1,1,1,1,0,1,1,1,1,1,1
0,1,3,6,1,3,5,9,21,52,112,162,16,11,3,4,6,1,2,3,3,4,6,7,3,4,12,20,35,49	3,3,3,1,3,3,3,3,3,3,2,1,2,1,3,3,1,3,3,3,3,3,3,1,3,4,3,3,3,3	1,3,6,1,3,5,9,21,52,112,162,16,11,3,4,6,1,2,3,3,4,6,7,3,4,12,20,35,49,69	1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,3,9,1,3,6,13,31,1,3,4,6,10,18,21,1,3,6,7,10,16,47,148,15,25,20,30,5,7,11,15,23,40,52,1,2,2,3,5	1,3,3,1,3,3,3,3,1,3,2,3,3,3,2,1,3,3,3,3,3,3,3,1,3,2,3,1,3,3,3,3,3,3,1,3,3,3,3,3	1,3,9,1,3,6,13,31,1,3,4,6,10,18,21,1,3,6,7,10,16,47,148,15,25,20,30,5,7,11,15,23,40,52,1,2,2,3,5,7	1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
0,1,2,5,1,4,6,11,23,56,71	1,3,3,1,3,3,3,3,3,2,3	1,2,5,1,4,6,11,23,56,71,319	1,1,0,1,1,1,1,1,1,1,1
0,2,1,2,4,8,19,37,89,184,12,35	3,1,3,3,3,3,3,3,3,3,3,4	2,1,2,4,8,19,37,89,184,12,35,154	0,1,1,1,1,1,1,1,1,1,1,1
0,2,3,6,1,1,4,6,11,24,47,101,10,2,7,24,48,4,43,3,3,2,4,8,26,65	1,3,3,1,1,3,3,3,3,3,3,1,1,3,3,3,1,1,1,2,1,3,3,4,3,3	2,3,6,1,1,4,6,11,24,47,101,10,2,7,24,48,4,43,3,3,2,4,8,26,65,163	1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1
0,1,4,10,23,1,3,6,7,17,37,83	1,3,3,3,1,3,3,2,3,3,3,3	1,4,10,23,1,3,6,7,17,37,83,357	1,1,1,0,1,1,1,1,1,1,1,1
0,1,2,6,15,36,86	3,3,3,3,3,3,3	1,2,6,15,36,86,213	1,1,1,1,1,1,1
0,3,1,4,6,12,27,1,3,7,15,31,1,3,6,11,17,28,35,52,96,12,7,9,12,19,26,44,68,2,2,3,3,4,4,4,4,6,7,10	4,1,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,2,2,3,1,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3	3,1,4,6,12,27,1,3,7,15,31,1,3,6,11,17,28,35,52,96,12,7,9,12,19,26,44,68,2,2,3,3,4,4,4,4,6,7,10,17	0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,2,2,6,14,36,41,94,9,35,92,9,22,48	1,3,3,3,3,2,3,1,3,3,1,3,3,3	2,2,6,14,36,41,94,9,35,92,9,22,48,117	1,1,1,1,1,1,0,1,1,0,1,1,1,1
0,1,3,8,19,51	3,3,3,3,3,3	1,3,8,19,51,124	1,1,1,1,1,1
0,1,6,45,36,11,11,32,6,14,44	3,3,3,2,3,3,3,3,3,3,3	1,6,45,36,11,11,32,6,14,44,138	1,1,1,1,1,1,1,1,1,1,1
0,1,9,60,6,20,2,5,13,27,4,12,34	3,3,3,1,1,1,3,3,3,3,3,3,3	1,9,60,6,20,2,5,13,27,4,12,34,105	1,1,0,0,0,1,1,1,1,1,1,1,1
0,2,3,6,11,29,74,85,135,16	3,3,3,3,3,3,2,3,3,3	2,3,6,11,29,74,85,135,16,51	1,1,1,1,1,1,1,1,1,1
0,1,1,1,2,3,1,3,5,8,14,1,3,5,9,1,3,5,7,9,13,20,2,3,5,8,1,4,5,6,8,11,24,60,6,5,8,12,10,9,16,23,2,4,2,5,14,26,2,5,11,27,2,4,10,4,10	1,1,1,3,3,1,3,3,3,3,1,3,3,3,1,3,3,3,3,3,3,1,3,3,3,1,3,3,2,3,3,3,3,1,2,3,3,2,2,3,1,1,3,1,3,3,3,1,3,3,3,1,3,3,1,4,4	1,1,1,2,3,1,3,5,8,14,1,3,5,9,1,3,5,7,9,13,20,2,3,5,8,1,4,5,6,8,11,24,60,6,5,8,12,10,9,16,23,2,4,2,5,14,26,2,5,11,27,2,4,10,4,10,31	0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1
0,2,4,9,20,51	3,3,3,3,3,3	2,4,9,20,51,123	1,1,1,1,1,1
0,1,3,6,1,4,5,12,29,1,3,6,13,30,56,224,22,2,2,1,2,2,3,4,1,4,2,2,2,3,4,5,11,29,53	1,3,3,1,3,3,3,3,1,3,3,3,3,3,3,1,1,1,2,3,3,3,1,3,3,1,3,3,3,3,3,3,4,3,3	1,3,6,1,4,5,12,29,1,3,6,13,30,56,224,22,2,2,1,2,2,3,4,1,4,2,2,2,3,4,5,11,29,53,74	1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0
0,2,3,2,3,6,14,36,78,152,2,5,15,25,9,28	1,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3	2,3,2,3,6,14,36,78,152,2,5,15,25,9,28,81	1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,4,2,3,7,18,19,1,3,6,11,20,1,3,6,9,10,16,25,58,2,4,5,2,2,5,53,13,35,17,2,8,15,42	1,3,1,3,3,3,2,1,3,3,3,3,1,3,3,3,2,3,3,2,1,3,3,1,3,3,1,3,3,3,1,3,3,3,3	1,4,2,3,7,18,19,1,3,6,11,20,1,3,6,9,10,16,25,58,2,4,5,2,2,5,53,13,35,17,2,8,15,42,113	1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1
0,2,3,8,1,3,6,11,26,58,125,12,26,67	1,3,3,1,3,3,3,3,3,3,1,3,3,3	2,3,8,1,3,6,11,26,58,125,12,26,67,179	1,1,0,1,1,1,1,1,1,0,1,1,1,1
0,1,4,9,22,53,137,112,2,6,17,47,129,2,5,12,20	1,3,3,3,3,3,2,1,3,3,3,3,1,3,3,3,3	1,4,9,22,53,137,112,2,6,17,47,129,2,5,12,20,36	1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
0,2,4,9,26,59,67,90,9,6,12,23,2,4,9,17,32,62	3,3,3,3,3,2,2,1,2,3,3,1,3,3,3,3,3,3	2,4,9,26,59,67,90,9,6,12,23,2,4,9,17,32,62,128	1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
0,1,3,8,23,1,3,7,14,29,69,1,5,23,95	3,3,3,3,1,3,3,3,3,3,1,3,3,3,3	1,3,8,23,1,3,7,14,29,69,1,5,23,95,246	1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
0,1,3,8,1,3,4,10,22,47,102	3,3,3,1,3,2,3,3,3,3,3	1,3,8,1,3,4,10,22,47,102,422	1,1,0,1,1,1,1,1,1,1,1
0,1,3,9,19,46,114,11,48,36,97,9,21,49	1,3,3,3,3,3,1,3,2,3,1,3,3,3	1,3,9,19,46,114,11,48,36,97,9,21,49,118	1,1,1,1,1,0,1,1,1,0,1,1,1,1
0,1,3,8,20,46,118,170,18,44	3,3,3,3,3,3,2,1,3,3	1,3,8,20,46,118,170,18,44,112	1,1,1,1,1,1,0,1,1,1
0,1,3,8,18,44,1,3,6,11,1,3,6,16,31,61	3,3,3,3,3,1,3,3,3,1,3,3,3,3,3,3	1,3,8,18,44,1,3,6,11,1,3,6,16,31,61,265	1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
0,1,3,6,1,3,1,3,5,11,25,1,3,5,7,12,21,43,77,69	1,3,3,1,3,1,3,3,3,3,1,3,3,3,3,3,3,3,2,3	1,3,6,1,3,1,3,5,11,25,1,3,5,7,12,21,43,77,69,152	1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,4,11,1,3,5,10,26,58,1,3,7,1,3,6,9,19,70,58,125,1,13,24,43,77,2,3,5,5,6,8	4,3,1,3,3,3,3,3,1,3,3,1,3,3,3,3,3,2,3,1,3,3,3,3,1,3,3,3,3,3,3	4,11,1,3,5,10,26,58,1,3,7,1,3,6,9,19,70,58,125,1,13,24,43,77,2,3,5,5,6,8,14	1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
0,1,3,1,3,8,14,35,77,1,3,6,11,28,106	1,3,1,3,3,3,3,3,1,3,3,3,2,3,3	1,3,1,3,8,14,35,77,1,3,6,11,28,106,260	1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,3,9,22,56	3,3,3,3,3,3	1,3,9,22,56,139	1,1,1,1,1,1
0,1,3,9,22,49,126,183	1,3,3,3,3,3,2,2	1,3,9,22,49,126,183,161	1,1,1,1,1,1,1,1
0,1,3,4,8,16,1,3,5,11,21,44,54,2,7,28,102	1,2,3,3,3,1,3,3,3,3,3,2,1,3,3,3,3	1,3,4,8,16,1,3,5,11,21,44,54,2,7,28,102,218	1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
0,1,1,3,6,17	4,4,3,3,3,3	1,1,3,6,17,42	1,1,1,1,1,1
0,1,3,7,16,1,3,7,15,32,72,1,4,15,67,57,6,8,14,32,68,7,13,26,48,91,2,4,4	1,3,3,3,1,3,3,3,3,3,1,3,3,3,2,1,3,3,3,3,1,3,3,3,3,1,3,3,3	1,3,7,16,1,3,7,15,32,72,1,4,15,67,57,6,8,14,32,68,7,13,26,48,91,2,4,4,6	1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
0,1,3,7,18,2,3,6,14,34,79	1,3,3,3,1,3,3,3,3,3,3	1,3,7,18,2,3,6,14,34,79,365	1,1,1,0,1,1,1,1,1,1,1
0,3,3,3,4,7,12,24,46,98	1,2,2,2,3,3,3,3,3,3	3,3,3,4,7,12,24,46,98,393	1,1,1,1,1,1,1,1,1,1
0,1,3,7,18,1,3,7,17,42,51,106,284,5,10,20,3,3,4,6,6,9,11	1,3,3,3,1,3,3,3,3,2,3,3,1,3,3,1,3,3,3,3,3,3,3	1,3,7,18,1,3,7,17,42,51,106,284,5,10,20,3,3,4,6,6,9,11,13	1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
0,2,3,7,16,39	4,3,3,3,3,3	2,3,7,16,39,100	1,1,1,1,1,1
0,2,3,7,17,39,93,455	1,3,3,3,3,3,3,1	2,3,7,17,39,93,455,10	1,1,1,1,1,1,0,1
0,2,3,4,9,18,46,104,111,11,34,4,12	1,2,3,3,3,3,3,3,3,3,3,3,3	2,3,4,9,18,46,104,111,11,34,4,12,35	1,1,1,1,1,1,1,1,1,1,1,1,1
0,2,1,3,1,3,5,1,3,5,8,1,1,3,4,6,10,12,16,22,34,2,3,5,1,3,5,15,19,48,37,3,13,11,8,2,1,3,9,13,5,2,1,3,9,2,8,15,3,12,27,22	1,1,3,1,3,3,1,3,3,3,1,1,3,2,3,3,3,3,3,3,1,3,3,1,3,3,3,2,3,2,1,1,3,2,1,2,3,3,3,3,1,2,3,3,1,3,3,1,4,3,2,3	2,1,3,1,3,5,1,3,5,8,1,1,3,4,6,10,12,16,22,34,2,3,5,1,3,5,15,19,48,37,3,13,11,8,2,1,3,9,13,5,2,1,3,9,2,8,15,3,12,27,22,50	0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1
0,1,6,38,32,127	3,3,3,2,3,2	1,6,38,32,127,109	1,1,1,1,1,1
0,6,40,165,2,8,31,4,29	4,3,3,1,3,3,1,4,3	6,40,165,2,8,31,4,29,101	1,1,0,1,1,0,1,1,1
0,1,7,46,4,16,61,11,6,24	3,3,3,1,3,3,3,3,3,3	1,7,46,4,16,61,11,6,24,66	1,1,0,1,1,1,1,1,1,1
0,1,7,50,40,45,2,6,5,19,44	3,3,3,2,1,1,3,2,3,3,3	1,7,50,40,45,2,6,5,19,44,112	1,1,1,0,0,1,1,1,1,1,1
0,1,2,3,8,22,55	1,4,3,3,3,3,3	1,2,3,8,22,55,133	1,1,1,1,1,1,1
0,2,1,3,5,11,25,1,3,1,3,5,6,12,27,71,2,8,31,112,11,2,4,9,21,2,3,5,5,2,3,5,7,9,13,22,38	1,3,3,3,3,3,1,3,1,3,3,2,3,3,4,1,3,3,3,1,1,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3	2,1,3,5,11,25,1,3,1,3,5,6,12,27,71,2,8,31,112,11,2,4,9,21,2,3,5,5,2,3,5,7,9,13,22,38,55	1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
0,1,2,3,6,16,41,98,131,17,30,13,44,5,11,34	4,4,3,3,3,3,3,3,3,3,3,3,1,3,3,3	1,2,3,6,16,41,98,131,17,30,13,44,5,11,34,97	1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
0,2,1,3,7,15,1,3,7,1,3,5,9,18,1,3,6,10,1,3,5,7,11,16,23,70,66,17,27,5,17,47	1,1,3,3,3,1,3,3,1,3,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3	2,1,3,7,15,1,3,7,1,3,5,9,18,1,3,6,10,1,3,5,7,11,16,23,70,66,17,27,5,17,47,135	0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,2,3,7,18,43	1,4,3,3,3,3,3	1,2,3,7,18,43,106	1,1,1,1,1,1,1
0,5,12,29,1,2,4,10,24,30,55,2,6,20,75,7,5,6,12,2,4,7,10,16,29,43,73,2,5,13,3,9,18,2	4,3,3,1,2,3,3,3,2,3,1,3,3,3,1,2,3,3,1,3,3,3,3,3,3,3,1,3,4,1,4,3,1,4	5,12,29,1,2,4,10,24,30,55,2,6,20,75,7,5,6,12,2,4,7,10,16,29,43,73,2,5,13,3,9,18,2,5	1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0
0,1,1,3,5,12,34,81	4,4,3,3,3,3,3,3	1,1,3,5,12,34,81,202	1,1,1,1,1,1,1,1
0,1,3,5,11,28,36,1,3,5,12,27,55,240,25,57,5,7,15	3,3,3,3,3,2,1,3,3,3,3,3,3,1,3,1,3,3,4	1,3,5,11,28,36,1,3,5,12,27,55,240,25,57,5,7,15,43	1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
0,1,1,1,2,3,6,7,14,28,50,95,137,14,42	1,1,1,1,3,3,2,3,3,3,3,3,3,3,3	1,1,1,2,3,6,7,14,28,50,95,137,14,42,124	0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0,2,1,3,6,12,24,1,3,6,12,22,50,1,3,1,3,5,8,24,84,8,15,45,7,18,1,4,5,10,3,4,12,27	3,1,3,3,3,3,1,3,3,3,3,3,1,3,1,3,3,3,3,3,1,3,1,3,3,1,3,1,3,1,3,3,3,3	2,1,3,6,12,24,1,3,6,12,22,50,1,3,1,3,5,8,24,84,8,15,45,7,18,1,4,5,10,3,4,12,27,53	0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1
0,2,3,4,8,16,40,92	4,2,3,3,3,3,3,3	2,3,4,8,16,40,92,433	1,1,1,1,1,1,1,1
0,2,1,3,7,20,49,116,11,54,44,4,2,4,7,6,12,21,38,78,8,15,21,18,26,31,1,2,3,3,4,5,6	1,3,3,3,3,3,3,1,3,2,1,2,3,3,2,3,3,3,3,1,3,3,2,3,3,1,3,3,3,3,3,3,3	2,1,3,7,20,49,116,11,54,44,4,2,4,7,6,12,21,38,78,8,15,21,18,26,31,1,2,3,3,4,5,6,9	1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,1,4,6,15,34,86,196,6,23	1,3,3,3,3,3,3,3,3,3	1,4,6,15,34,86,196,6,23,66	1,1,1,1,1,1,1,1,1,1
0,1,3,9,1,3,7,1,3,4,9,18,1,2,4,6,8,11,17,1,5,5,6,1,3,8,7,11,16,42,107,20,2,6,4,3,2,2,2,9,5,7,11,18,30,24,1,3,4,4,6,7,1,3,5,5,7	1,3,3,1,3,3,1,3,2,3,3,1,2,3,3,2,3,3,1,3,3,2,1,3,3,3,3,3,3,3,1,1,3,2,2,1,1,1,3,2,3,3,3,3,2,1,3,3,1,3,3,1,3,3,3,3,3	1,3,9,1,3,7,1,3,4,9,18,1,2,4,6,8,11,17,1,5,5,6,1,3,8,7,11,16,42,107,20,2,6,4,3,2,2,2,9,5,7,11,18,30,24,1,3,4,4,6,7,1,3,5,5,7,13	1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1
0,1,6,42,4,15,12,48,4,13,2,7,27,79,8,39,3,8,25,65,2,5	3,3,3,1,3,2,3,1,3,1,3,3,3,1,4,1,3,3,3,1,3,3	1,6,42,4,15,12,48,4,13,2,7,27,79,8,39,3,8,25,65,2,5,12	1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1
0,1,6,39,3,10,43	3,3,3,1,3,3,3	1,6,39,3,10,43,173	1,1,0,1,1,1,1
0,1,4,8,19,51,2,5,5,14,34,82	1,3,3,3,3,1,3,3,3,3,3,3	1,4,8,19,51,2,5,5,14,34,82,393	1,1,1,1,0,1,1,1,1,1,1,1
0,1,3,5,12,28,40	1,3,3,3,3,2,3	1,3,5,12,28,40,93	1,1,1,1,1,1,1
0,1,4,8,17,44	3,3,3,3,3,3	1,4,8,17,44,112	1,1,1,1,1,1
0,1,1,3,5,10,23,48,1,3,7,12,2,4,5,11,18,1,3,9,34,45,2,3,4,5,6,7,12,17,27,45,74	2,1,3,3,3,3,3,1,3,3,3,1,3,3,3,3,1,3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3	1,1,3,5,10,23,48,1,3,7,12,2,4,5,11,18,1,3,9,34,45,2,3,4,5,6,7,12,17,27,45,74,114	0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,1,3,5,13,30,76,190	1,3,3,3,3,3,3,2	1,3,5,13,30,76,190,166	1,1,1,1,1,1,1,1
0,1,3,8,19,50,121,12,59	3,3,3,3,3,3,1,3,3	1,3,8,19,50,121,12,59,164	1,1,1,1,1,0,1,1,1
0,3,5,10,22	4,3,3,3,3	3,5,10,22,73	1,1,1,1,1
0,2,1,3,6,11,27,65,1,2	4,3,3,3,3,3,3,1,3,3	2,1,3,6,11,27,65,1,2,3	1,1,1,1,1,1,0,1,1,1
0,2,1,3,5,13,28	4,3,3,3,3,3,3	2,1,3,5,13,28,66	1,1,1,1,1,1,1
0,2,1,3,5,13,1,3,7,13	4,1,3,3,3,1,3,3,3,3	2,1,3,5,13,1,3,7,13,26	0,1,1,1,0,1,1,1,1,1
0,1,1,3,6,14,35,89	3,3,3,3,3,3,3,3	1,1,3,6,14,35,89,221	1,1,1,1,1,1,1,1
0,1,2,3,6,17,44	3,3,3,3,3,3,3	1,2,3,6,17,44,102	1,1,1,1,1,1,1
0,2,3,6,17,36,94	3,3,3,3,3,3,3	2,3,6,17,36,94,450	1,1,1,1,1,1,1
0,1,2,5,14,38	1,3,4,3,3,3	1,2,5,14,38,105	1,1,1,1,1,1
0,2,3,9,19,23,57	3,3,3,3,2,3,3	2,3,9,19,23,57,136	1,1,1,1,1,1,1
0,1,3,6,14,33,41,99	3,3,3,3,3,2,3,2	1,3,6,14,33,41,99,137	1,1,1,1,1,1,1,1
0,1,1,3,5,11,27,68	3,3,3,3,3,3,3,3	1,1,3,5,11,27,68,171	1,1,1,1,1,1,1,1
0,1,3,7,18,45	3,3,3,3,3,3	1,3,7,18,45,112	1,1,1,1,1,1
0,1,3,9,23,59,71	3,3,3,3,3,2,3	1,3,9,23,59,71,330	1,1,1,1,1,1,1
0,1,3,7,19,1,3,5,9,22,54,1,3,6,14,26,107,10,20,49,111,13,26,3,4,5,14,18,27	1,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,1,3,1,3,3,3,3,3,3	1,3,7,19,1,3,5,9,22,54,1,3,6,14,26,107,10,20,49,111,13,26,3,4,5,14,18,27,40	1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1
0,1,1,3,8,15,38,93,65,6,2,3,6,14,33,3,5,17,29,2,3,4,6,2,3,6,7,9,13,16,23,1,1,6,7,15,26,43	3,3,3,3,3,3,3,1,1,1,3,3,3,3,1,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,1,3,4,3,3,3,3,3	1,1,3,8,15,38,93,65,6,2,3,6,14,33,3,5,17,29,2,3,4,6,2,3,6,7,9,13,16,23,1,1,6,7,15,26,43,73	1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
0,2,3,9,24,56,143	3,3,3,3,3,3,2	2,3,9,24,56,143,121	1,1,1,1,1,1,1
0,2,3,1,3,5,10,21,46,108,10,14,2,5,4,7,2,2,4,5,10,18,26,43,70,121,2,2,3,3,4,5,7,11,9,13	1,3,1,3,3,3,3,3,3,1,2,1,3,2,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,2,3,3	2,3,1,3,5,10,21,46,108,10,14,2,5,4,7,2,2,4,5,10,18,26,43,70,121,2,2,3,3,4,5,7,11,9,13,19	1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
0,2,3,7,15,41	3,3,3,3,3,3	2,3,7,15,41,101	1,1,1,1,1,1
0,2,3,9,25,1,3,5,12,1,3,7,16,33,35,1,1,4,12,42,149,1,14,4,4,5,7,19,39,64,6,9,10,13,18,23	3,3,3,3,1,3,3,3,1,3,3,3,3,2,1,1,3,3,3,3,1,3,1,3,3,3,4,3,3,1,3,3,3,3,3,3	2,3,9,25,1,3,5,12,1,3,7,16,33,35,1,1,4,12,42,149,1,14,4,4,5,7,19,39,64,6,9,10,13,18,23,29	1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,3,6,16,41	3,3,3,3,3	3,6,16,41,103	1,1,1,1,1
0,1,3,9,25,1,3,6,15,32,70	1,3,3,3,1,3,3,3,3,3,3	1,3,9,25,1,3,6,15,32,70,334	1,1,1,0,1,1,1,1,1,1,1
0,4,11,31,1,3,5,9,19,46,106,87,219,4,8,17	4,3,3,1,3,3,3,3,3,3,2,3,1,3,3,3	4,11,31,1,3,5,9,19,46,106,87,219,4,8,17,29	1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
0,2,3,10,24,64,74	3,3,3,3,3,2,3	2,3,10,24,64,74,336	1,1,1,1,1,1,1
