t_history	r_history	delta_ts	ys
0,1,3,8,19,47	3,3,3,3,3,3	1,3,8,19,47,113	1,1,1,1,1,1
0,1,3,7,15,41	3,3,3,3,3,3	1,3,7,15,41,104	1,1,1,1,1,1
0,1,3,8,18,48	3,3,3,3,3,3	1,3,8,18,48,126	1,1,1,1,1,1
0,1,3,9,22,53,128,3,6,11,24	3,3,3,3,3,3,1,3,3,3,3	1,3,9,22,53,128,3,6,11,24,51	1,1,1,1,1,0,1,1,1,1,1
0,1,2,3,6,12,24,1,3,5,10,27,62	3,3,3,3,3,3,1,3,3,3,3,3,2	1,2,3,6,12,24,1,3,5,10,27,62,74	1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,3,7,8,17,37,82	1,3,3,2,3,3,3,3	1,3,7,8,17,37,82,192	1,1,1,1,1,1,1,1
0,1,3,9,21,54,1,3,9,19,47,53	3,3,3,3,3,1,3,3,3,3,2,3	1,3,9,21,54,1,3,9,19,47,53,112	1,1,1,1,0,1,1,1,1,1,1,1
0,3,8,20,47	3,3,3,3,3	3,8,20,47,122	1,1,1,1,1
0,5,12,29,74	4,3,3,3,3	5,12,29,74,175	1,1,1,1,1
0,1,3,6,14,39	3,3,3,3,3,3	1,3,6,14,39,94	1,1,1,1,1,1
0,1,4,6,17,39,45,58	3,3,3,3,3,2,2,3	1,4,6,17,39,45,58,128	1,1,1,1,1,1,1,1
0,1,1,4,8,17,46	3,3,3,3,3,3,3	1,1,4,8,17,46,122	1,1,1,1,1,1,1
0,1,3,5,12,33,84	1,3,3,3,3,3,3	1,3,5,12,33,84,213	1,1,1,1,1,1,1
